Name,City,State,Website
Rajiv Gandhi University,Itanagar,Arunachal Pradesh,http://www.rgu.ac.in
Assam University,Silchar,Assam,http://www.assamuniversity.nic.in
Tezpur University,Tezpur,Assam,http://www.tezu.ernet.in
University of Hyderabad,Hyderabad,Telangana,http://www.uohyd.ac.in
Maulana Azad National Urdu University,Hyderabad,Telangana,http://www.manuu.ac.in
English & Foreign Languages University,Hyderabad,Telangana,http://www.efluniversity.ac.in
Jamia Millia Islamia,Delhi,Delhi,http://www.jmi.nic.in
University of Delhi,Delhi,Delhi,http://www.du.ac.in
Jawaharlal Nehru University,Delhi,Delhi,http://www.jnu.ac.in
Indira Gandhi National Open University,Delhi,Delhi,http://www.ignou.ac.in
Mahatma Gandhi Antarrashtriya Hindi Vishwavidyalaya,Mumbai,Maharashtra,
North Eastern Hill University,Shillong ,Meghalaya,http://www.nehu.ac.in
Manipur University,Imphal,Manipur,http://www.manipuruniv.ac.in
Central Agricultural University,Imphal,Manipur,http://www.cau.org.in
Pondicherry University,Puducherry,Puducherry,http://www.pondiuni.edu.in
Sikkim University,Gangtok,Sikkim,http://www.sikkimuniversity.in
Tripura University,Agartala,Tripura,http://www.tripurauniv.in
Aligarh Muslim University,Aligarh,Uttar Pradesh,http://www.amu.ac.in
Babasaheb Bhimrao Ambedkar University,Lucknow,Uttar Pradesh,http://www.bbau.ac.in
Banaras Hindu University,Varanasi,Uttar Pradesh,http://www.bhu.ac.in
University of Allahabad,Allahabad,Uttar Pradesh,http://www.allduniv.ac.in/
Hemwati Nandan Bahuguna Garhwal University,Srinagar,Jammu and Kashmir,http://www.hnbgu.ac.in
Indian Maritime University,Chennai,Tamil Nadu ,http://www.imu.tn.nic.in
Central University of Rajasthan ,Ajmer,Rajasthan,http://www.curaj.ac.in
Central University of Karnataka,Gulbarga,Karnataka,http://www.cuk.ac.in
Central University of Jharkhand,Ranchi,Jharkhand,http://www.cuj.ac.in
Central University of Kashmir,Jammu,Jammu and Kashmir,http://www.cukashmir.ac.in
Central University of Jammu,Jammu,Jammu and Kashmir,http://www.cujammu.ac.in
Central University of Haryana,Pali,Rajasthan,http://www.cuh.ac.in
Guru Ghasidas Vishwavidyalaya,Bilaspur,Chhattisgarh,http://www.ggu.ac.in
Central University of South Bihar,Patna,Bihar,http://www.cub.ac.in
International  Institute of Information Technology,Hyderabad,Telangana,http://www.iiit.ac.in
Koneru Lakshmaiah Education Foundation ,Guntur,Andhra Pradesh,http://www.kluniversity.in
Rashtriya Sanskrit Vidyapeeth,Tirupati,Andhra Pradesh,http://rsvidyapeetha.ac.in
ICFAI Foundation for Higher Education ,Hyderabad,Telangana,http://www.ifheindia.org
Vignan's Foundation for Science   Technology and Research,Guntur,Andhra Pradesh,https://vignan.ac.in/
North Eastern Regional Institute of Science & Technology,Itanagar,Arunachal Pradesh,http://www.nerist.ac.in
Punjab Engineering College,Chandigarh ,Chandigarh,http://www.pec.ac.in
Indian Agricultural Research Institute,Delhi,Delhi,http://www.iari.res.in
Indain Institute of Foreigen Trade,Delhi,Delhi,http://www.iift.edu
Indian Law Institute ,Delhi,Delhi,http://www.admissionnews.com
Institute of liver and Biliary Sciences,Delhi,Delhi,http://www.ilbs.in/
Jamia Hamdard,Delhi,Delhi,http://www.jamiahamdard.edu
National Museum Institute of History of Arts  Conservation and Musicology,Delhi,Delhi,http://nmi.gov.in
National University of Educational Planning & Administration,Delhi,Delhi,http://www.nuepa.org
Rashtriya Sanskrit Sansthana ,Delhi,Delhi,http://www.sanskrit.nic.in
Shri Lal Bahadur Shastri Rashtriya Sanskrit Vidyapith,Delhi,Delhi,http://www.slbsrsv.ac.in
TERI School of Advanced studies,Delhi,Delhi,http://www.teriuniversity.ac.in
Gujarat Vidyapith ,Ahmedabad,Gujarat,http://www.gujaratvidyapith.org
Sumandeep Vidyapeeth ,Vadodara,Gujarat,http://www.sumandeepvidyapeethdu.edu.in
Maharishi Markandeshwar (Deemed to be University),Ambala,Haryana,http://www.mmumullana.org
Lingaya's Vidyapeeth,Faridabad,Haryana,http://www.limat.org
National Dairy Research Institute,Karnal,Haryana,http://www.ndri.res.in
Manav Rachna International Institute of Research and Studies,Faridabad,Haryana,http://manavrachna.edu.in/
Birla Institute of Technology,Ranchi,Jharkhand,http://www.bitmesra.ac.in
B.L.D.E. ,Bijapur,Karnataka,http://bldedu.ac.in/
JSS Academy of Higher Education & Research,Mysore,Karnataka,www.jssuni.edu.in
K.L.E. Academy of Higher Education and Research,Belgaum,Karnataka,http://www.kleuniversity.edu.in
NITTE ,Mangalore,Karnataka,http://www.nitte.edu.in
Sri Devraj Urs Academy of Higher Education and Research ,Kolar,Karnataka,http://www.sduu.ac.in
Swami Vivekananda Yoga Anusandhana Samsthana,Agra,Uttar Pradesh,http://www.vyasa.org
Yenepoya ,Mangalore,Karnataka,http://yenepoya.edu.in
Indian Institute of Space Science and Technology,Hapur,Uttar Pradesh,http://www.iist.ac.in
Indian Institute of Information Technology and Management,Gwalior,Madhya Pradesh,http://www.iiitm.ac.in
Pandit Dwarka Prasad Mishra Indian Institute of Information Technology,Jabalpur,Madhya Pradesh,http://www.iitk.ac.in
Lakshmibai National Institute of Physical Education ,Gwalior,Madhya Pradesh,http://www.lnipe.nic.in
Bharati Vidyapeeth,Pune,Maharashtra,http://bvuniversity.edu.in/
Central Institute of Fisheries Education ,Mumbai,Maharashtra,http://www.cife.edu.in
D.Y Patil Educational Society,Hapur,Uttar Pradesh,http://www.dypatilunikop.org
Deccan College Postgraduate & Research Institute,Pune,Maharashtra,http://www.deccancollegepune.ac.in
Dr. D.Y. Patil Vidyapeeth ,Pune,Maharashtra,http://www.dpu.edu.in
Gokhale Institute of Politics & Economics ,Pune,Maharashtra,http://www.gipe.ac.in
Homi Bhabha National Institute  Regd. Office,Mumbai,Maharashtra,http://www.hbni.ac.in
Indira Gandhi Institute of Development Research ,Mumbai,Maharashtra,http://www.igidr.ac.in
Defence Institute of Advanced Technology,Pune,Maharashtra,https://www.diat.ac.in
International Institute for Population Sciences ,Mumbai,Maharashtra,http://www.iipsindia.org
Institute of Chemical Technology,Mumbai,Maharashtra,http://www.ictmumbai.edu.in
Narsee Monjee Institute of Management Studies ,Mumbai,Maharashtra,http://www.nmims.edu
Padmashree Dr.D.Y. Patil Vidyapeeeth,Mumbai,Maharashtra,http://www.dypatil.ac.in
Pravara Institute of Medical Sciences,Hata,Uttar Pradesh,http://www.pravara.com/
Symbiosis International University,Pune,Maharashtra,http://www.siu.edu.in
Tata Institute of Fundamental Research,Mumbai,Maharashtra,http://www.tifr.ac.in
Tata Institute of Social Sciences ,Mumbai,Maharashtra,http://www.tiss.edu
Tilak Maharashtra Vidyapeeth,Pune,Maharashtra,http://www.tmv.edu.in
Thapar Institute of Engineering & Technology ,Patiala,Punjab,http://www.thapar.edu.in
Sri Balaji Vidyapeeth (Deemed to be University),Cuddalore,Tamil Nadu ,http://www.sbvu.ac.in
IIS ,Jaipur,Rajasthan,http://www.iisuniv.ac.in
Janardan Rai Nagar Rajasthan Vidyapeeth,Udaipur,Rajasthan,http://www.jrnrvu.org
The LNM Institute of Information Technology  jaipur,Jaipur,Rajasthan,http://www.lnmiit.ac.in
Mody Institute of Education and Research ,Sikar,Rajasthan,http://www.mitsuniversity.ac.in
Academy of Maritime Education and Training ,Chennai,Tamil Nadu ,http://www.ametuniv.ac.in
Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu ,http://www.amrita.edu
Avinashilingam Institute for Home Science & Higher Education for Women,Coimbatore,Tamil Nadu ,http://www.avinashilingam.edu
B.S. Abdur Rahman Institute of Science and Technology ,Chennai,Tamil Nadu ,http://www.bsauniv.ac.in
Bharath Institute of Higher Education & Research,Chennai,Tamil Nadu ,http://www.bharathuniv.com
Chettinad Academy of Research and Education  (CARE),Chennai,Tamil Nadu ,http://www.chettinadhealthcity.com
Hindustan Institute of Technology  and Science (HITS),Chennai,Tamil Nadu ,http://www.hindustanuniv.ac.in
Karunya Institute of Technology and Sciences,Coimbatore,Tamil Nadu ,http://www.karunya.edu
Karpagam Academy of Higher Education ,Coimbatore,Tamil Nadu ,http://www.kahedu.edu.in
Dr. M.G.R. Educational and Research Institute ,Chennai,Tamil Nadu ,http://www.drmgrdu.ac.in
Meenakshi Academy of Higher Education and Research  ,Chennai,Tamil Nadu ,http://www.maher.ac.in
Periyar Manaimmai Institute of Science & Technology (PMIST),Thanjavur,Tamil Nadu ,http://www.pmu.edu
Ponnaiyan Ramajayam Institute of Science & technology (PMIST),Thanjavur,Tamil Nadu ,http://www.prist.ac.in
S.R.M Institute of Science and Technology,Ambala,Haryana,http://www.srmuniv.ac.in
Sathyabama Institute of Science and Technology,Chennai,Tamil Nadu ,http://www.sathyabamauniversity.ac.in
Saveetha Institute of Medical and Technical Sciences                ,Chennai,Tamil Nadu ,http://www.saveetha.com
Shanmugha Arts Science Technology & Research Academy (SASTRA) ,Thanjavur,Tamil Nadu ,http://www.sastra.edu
Sri Ramachandra Medical College and Research Institute ,Chennai,Tamil Nadu ,http://http://www.sriramachandra.edu.in
St. Peter’s Institute of Higher Education and Research,Chennai,Tamil Nadu ,http://www.spiher.ac.in
VELS Institute of Science Technology & Advanced Studies (VISTAS) ,Chennai,Tamil Nadu ,http://www.velsuniv.ac.in
Vellore Institute of Technology ,Vellore,Tamil Nadu ,http://www.vit.ac.in
Vel Tech Rangarajan Dr. Sagunthala R & D Institute of Science and Technology ,Chennai,Tamil Nadu ,http://www.veltechuniv.edu.in   www.vel-tech.org
Vinayaka Mission’s Research Foundation ,Salem,Tamil Nadu ,http://www.vinayakamission.com
Sam Higginbottom Institute of Agriculture  Technology & Sciences,Allahabad,Uttar Pradesh,http://www.shiats.edu.in
Bhatkhande Music Institute ,Lucknow,Uttar Pradesh,http://www.bhatkhandemusic.edu.in
Central Institute of Higher Tibetan Studies ,Varanasi,Uttar Pradesh,http://www.cihts.ac.in
Dayalbagh Educational Institute  ,Agra,Uttar Pradesh,http://www.dei.ac.in
Nehru Gram Bharati ,Agra,Uttar Pradesh,http://www.ngbu.edu.in
Shobhit Institute of Engineering & Technology ,Meerut,Uttar Pradesh,http://www.shobhituniversity.ac.in
Santosh ,Ghaziabad,Uttar Pradesh,https://santosh.ac.in/
Forest Research Institute ,Dehradun,Uttarakhand,http://www.icfre.org
Graphic Era   ,Dehradun,Uttarakhand,http://www.ugc.ac.in
Assam Don Bosco University,Guwahati,Assam,http://www.dbuniversity.ac.in
Dr. C.V. Raman University,Bilaspur,Chhattisgarh,http://www.cvru.ac.in
MATS University ,Raipur,Chhattisgarh,http://www.matsuniversity.ac.in
Calorx Teacher's University ,Ahmedabad,Gujarat,http://www.ctu.org.in
Nirma University,Ahmedabad,Gujarat,http://www.nirmauni.ac.in
O.P. Jindal Global University,Sonipat,Haryana,http://www.jgls.org
Acharaya Nagarjuna University,Guntur,Andhra Pradesh,http://www.anu.ac.in
Adikavi Nannaya University,Krishnapuram,Tamil Nadu ,http://www.nannayauniversity.info/
Aliah University,Kolkata ,West Bengal,http://www.aliah.ac.in
Andhra University,Patna,Bihar,http://www.andhrauniversity.info/
Anna University,Chennai,Tamil Nadu ,http://www.annauniv.edu
Assam Agricultural University,Jorhat,Assam,http://www.aau.ac.in
Baba Ghulam Shah Badshah University,Jammu,Jammu and Kashmir,http://www.bgsbuniversity.org
Barkatullaah University,Bhopal ,Madhya Pradesh,http://www.bubhopal.nic.in
Bhagat Phool Singh Mahila Vishwavidyalaya,Sonipat,Haryana,http://www.bpswomenuniversity.ac.in
Bharathiar University,Coimbatore,Tamil Nadu ,http://www.bdu.ac.in
Krishnakumarsinhji Bhavnagar University,Bhavnagar,Gujarat,http://www.bhavuni.edu
Birsa Agricultural University,Ranchi,Jharkhand,http://www.baujharkhand.org
Bundelkhand University,Jhansi,Uttar Pradesh,http://www.bujhansi.org
Calcutta University,Kolkata ,West Bengal,http://www.caluniv.ac.in
Calicut University ,Calicut,Kerala,http://www.universityofcalicut.info
CEPT University ,Ahmedabad,Gujarat,http://www.cept.ac.in
Chanakya National Law University,Hapur,Uttar Pradesh,http://www.cnlu.ac.in
Chatrapati Sahuji Maharaj Kanpur University,Kalyan,Maharashtra,http://www.kanpuruniversity.org
Chaudhary Devi Lal University,Sirsa,Haryana,http://www.cdlu.in
Chhattisgarh Swami Vivekanad Technical Universty,Bhilai,Chhattisgarh,http://www.csvtu.ac.in
Choudary Charan Singh University,Meerut,Uttar Pradesh,http://www.ccsuniversity.ac.in
Cochin Unviersity of Science & Technology,Kochi,Kerala,http://www.cusat.edu
Davangere University,Davangere,Karnataka,http://www.davangereuniversity.ac.in
Devi Ahilya Vishwavidyalaya,Indore,Madhya Pradesh,http://www.dauniv.ac.in
Dibrugarh University,Dibrugarh,Assam,http://www.dibru.ac.in
Doon University,Dehradun,Uttarakhand,http://www.gov.ua.nic.in/doonuniversity
Dr. B.R.Ambedkar Open University,Hyderabad,Telangana,http://www.braou.ac.in
Dr. B.R. Ambedkar University,Agra,Uttar Pradesh,http://www.brauagra.ac.in
Dr. Babasaheb Ambedkar Marathwada University,Aurangabad,Maharashtra,http://www.bamu.net
Dr. Babasaheb Ambedkar Open University,Ahmedabad,Gujarat,http://www.baou.edu.in/
Dr. Punjabrao Deshmukh Krishi Vidyapeeth,Akola,Maharashtra,http://www.pdkv.mah.nic.in
Dr. Ram Manohar Lohiya National Law University,Lucknow,Uttar Pradesh,http://www.rmlau.ac.in
Dr. Shakuntala Misra National Rehabilitation University,Lucknow,Uttar Pradesh,http://www.dsmru.up.nic.in
Gauhati University,Guwahati,Assam,http://www.gauhati.ac.in
Gujarat Technological University,Ahmedabad,Gujarat,http://www.gtu.ac.in
Gujarat University,Ahmedabad,Gujarat,http://www.gujaratuniversity.org.i
Gulbarga University,Gulbarga,Karnataka,http://www.gulbargauniversity.kar.nic.ini
Guru Angad Dev Veterinary & Animal Sciences University,Ludhiana,Punjab,http://www.gadvasu.in
Guru Jambeshwar University of Science and Technology,Hisar,Haryana,http://www.gju.ernet.in
Guru Nanak Dev University,Amritsar,Punjab,http://www.gndu.ac.in
Hidayatullah National Law University,Raipur,Chhattisgarh,http://www.hnlu.ac.in
Himachal Pradesh University,Shimla,Himachal Pradesh,http://www.hpuniv.nic.in
Indira Gandhi Krishi Vishwavidyalaya,Raipur,Chhattisgarh,http://www.igau.edu.in
Islamic University of Sciences & Technology University,Jammu,Jammu and Kashmir,http://www.islamicuniversity.edu.in
Jagadguru Ramanandacharya Sanskrit University,Jaipur,Rajasthan,http://www.jrrsanskrituniversity.ac.in
Jai Naraim Vyas University,Jodhpur,Rajasthan,http://www.jnvu.org
Jammu University ,Jammu,Jammu and Kashmir,http://www.jammuuniversity.in
Jawaharlal Nehru Krishi Vishwavidyalaya,Jabalpur,Madhya Pradesh,http://www.jnkvv.nic.in
Jawaharlal Nehru Technological University,Hyderabad,Telangana,http://www.jntuh.ac.in
Jawaharlal Nehru Technological University,Hapur,Uttar Pradesh,http://www.jntuk.edu.in
Jiwaji University,Gwalior,Madhya Pradesh,http://www.jiwaji.edu
Kakatiya University,Puri,Odisha,http://www.kakatiya.ac.in
Kalyani University,Kalyan,Maharashtra,http://www.klyuniv.ac.in
Karanataka  State Law University,Hubli,Karnataka,http://www.kslu.ac.in
Karanataka  State Open University,Mysore,Karnataka,http://karnatakastateopenuniversity.in
Kannada University,Bellary,Karnataka,http://www.kannadauniversity.org
Karanataka Veterinary  Animal & Fisheries Science University ,Bidar,Karnataka,www.kvafsu.kar.nic.in; www.kvafsu.edu.in  
Kashmir University,Jammu,Jammu and Kashmir,http://www.kashmiruniversity.net
Kerala University,Hapur,Uttar Pradesh,http://www.keralauniversity.edu
King Georges Medical University,Lucknow,Uttar Pradesh,http://www.kgmcindia.edu
Krantiguru Shyamji Krishna Verma Kachchh University,Bhuj,Gujarat,http://kskvku.digitaluniversity.ac
Krishna Kanta Handique State Open University,Dispur,Assam,http://www.kkhsou.in
Kushabhau Thakre Patrakarita Avam Jansanchar Vishwavidyalaya,Raipur,Chhattisgarh,http://www.ktujm.ac.in
Kuvempu University,Shimoga,Karnataka,http://www.kuvempu.ac.in
Lucknow University,Lucknow,Uttar Pradesh,http://www.lkouniv.ac.in
M.J.P. Rohilkhand University,Bareilly,Uttar Pradesh,http://www.mjpru.ac.in 
M.P.Bhoj (open) University,Bhopal ,Madhya Pradesh,http://www.bhojvirtualuniversity.com
Madaras University,Chennai,Tamil Nadu ,http://www.unom.ac.in 
Madurai Kamraj University,Madurai,Tamil Nadu ,http://www.mkuniversity.org
Magadh University,Gaya,Bihar,http://www.magadhuniversity.ac.in/
Maharshi Panini Sanskrit Evam Vedic Vishwavidyalaya,Ujjain,Madhya Pradesh,http://http://mpsvvujjain.org
Maharaja Sayajirao University of Baroda ,Vadodara,Gujarat,www .msubaroda.ac.in
Maharana Pratap University of Agriculture & Technology,Udaipur,Rajasthan,http://www.mpuat.ac.in
Maharishi Dayanand Saraswati University,Ajmer,Rajasthan,http://mdsuajmer.ac.in/
Maharishi Dayanand University,Rohtak,Haryana,http://www.mdurohtak.ac.in
Mahatam Gandhi Kashi Vidyapeeth,Varanasi,Uttar Pradesh,http://www.mgkvp.ac.in
Mahatma Gandhi University ,Nalgonda,Telangana,http://www.mguniversity.ac.in
Makhanlal Chaturvedi National University of Journalism & Communication,Bhopal ,Madhya Pradesh,http://www.mcu.ac.in/
Mangalore University,Mangalore,Karnataka,http://www.mangaloreuniversity.ac.in
Marathwada Agricultural University,Parbhani,Maharashtra,http://www.mkv2.mah.nic.in
Maulana Mazharul Haque Arabic & Persian University,Patna,Bihar,http://mmhapu.bih.nic.in
Mohan Lal Shukhadia University,Udaipur,Rajasthan,http://www.mlsu.ac.in
Mumbai University,Mumbai,Maharashtra,http://www.mu.ac.in
Mysore University,Mysore,Karnataka,http://www.uni-mysore.ac.in
Nalanda Open University,Patna,Bihar,http://www.nalandaopenuniversity.com   www.nou.ac.in  
National Academy of Legal Studies & Research University,Hyderabad,Telangana,http://nalsar.ac.in
National Law Institute University,Bhopal ,Madhya Pradesh,http://www.nliu.ac.in
National Law Universituy,Jodhpur,Rajasthan,http://www.nlujodhpur.ac.in
National University of Advanced Legal Studies (NUALS),Kochi,Kerala,http://www.nuals.ac.in
Orissa University Of Agriculture & Technology,Bhubaneshwar,Odisha,http://www.ouat.ac.in
Osmania University,Hyderabad,Telangana,http://www.osmania.ac.in
Palamuru University ,Mahabubnagar,Telangana,http://www.palamuruuniversity.ac.in
Periyar University,Salem,Tamil Nadu ,http://periyaruniversity.ac.in
Potti Sreeramulu Teugu Universtity,Hyderabad,Telangana,http://teluguuniversity.ac.in/
Pt. Bhagwat Dayal Sharma University of Health Sciences,Rohtak,Haryana,'http://www.uhsr.ac.in
Pt. Sundarlal Sharma (Open) University,Bilaspur,Chhattisgarh,http://www.pssou.ac.in
Pt.Ravishankar Shukla University,Raipur,Chhattisgarh,http://www.prsu.ac.in
Savitribai Phule Pune University,Pune,Maharashtra,http://www.unipune.ac.in
Punjab Agriculture University,Ludhiana,Punjab,http://www.pau.edu
Punjabi University,Patiala,Punjab,http://www.punjabiuniversity.ac.in
Rabindra Bharati University,Kolkata ,West Bengal,http://www.rbu.ac.in
Swami Keshwanand Rajasthan Agriculture University,Bikaner,Rajasthan,http://www.raubikaner.org
Rajasthan Ayurveda University,Jodhpur,Rajasthan,
Rajasthan Technical University,Hata,Uttar Pradesh,http://www.rtu.ac.in
Rajasthan University,Jaipur,Rajasthan,http://www.uniraj.ernet.in
Rajasthan University of Health Sciences,Jaipur,Rajasthan,http://www.ruhsraj.org
Rajiv Gandhi Prodoyogiki Vishwavidyalaya,Bhopal ,Madhya Pradesh,http://www.rgtu.net
Ranchi University,Ranchi,Jharkhand,http://www.ranchiuniversity.ac.in
Rani Durgavati Vishwavidyalaya,Jabalpur,Madhya Pradesh,http://www.rdunijbpin.org
Ravenshaw University,Cuttack,Odisha,http://ravenshawuniversity.ac.in
Rayalaseema University,Kurnool,Andhra Pradesh,http://www.rayalaseemauniversity.ac.in
Sampurnanand Sanskrit Vishwavidyalaya,Varanasi,Uttar Pradesh,http://www.ssvv.up.nic.in
Sardar Vallabh Bhai Patel University of Agriculture & Technology,Meerut,Uttar Pradesh,http://www.svbpmeerut.ac.in
Satavahana University,Karimnagar,Telangana,http://www.satavahana.ac.in
Saurashtra University,Rajkot,Gujarat,http://www.saurashtrauniversity.edu
Sher-e-Kashmir University of Agricultural Science & Technology,Jammu,Jammu and Kashmir,http://www.skuastkashmir.ac.in
Shivaji University,Hapur,Uttar Pradesh,http://www.unishivaji.ac.in
Shri Jagannath Sanskrit Vishwavidyalaya,Puri,Odisha,http://www.sjsv.nic.in
Shri Mata Vaishno Devi University,Jammu,Jammu and Kashmir,http://www.smvdu.net.in
Smt. Nathibai Damodar Thackersey Women's University,Mumbai,Maharashtra,http://www.sndt.ac.in
Solapur University ,Pune,Maharashtra,http://su.digitaluniversity.ac/
Veer Narmad South Gujarat University,Surat,Gujarat,http://www.vnsgu.ac.in
Sri Padmavati Mahila Vishwavidyalayam,Tirupati,Andhra Pradesh,http://www.spmvv.ac.in
Sri Venkateswara University,Tirupati,Andhra Pradesh,http://www.svuniversity.ac.in
Sri Venkateswara Vedic University,Tirupati,Andhra Pradesh,http://www.svvedicuniversity.org
Sri Venkateswara Veterinary University,Tirupati,Andhra Pradesh,http://www.svvu.edu.in
Swami Ramanand Teerth Marathwada University,Nanded,Maharashtra,http://www.srtmun.org
T.M. Bhagalpur University,Bhagalpur,Bihar,http://www.tmbu.org
Tamil Nadu Open University,Chennai,Tamil Nadu ,http://www.tnou.ac.in
Tamil Nadu Teacher Education University,Chennai,Tamil Nadu ,http://www.tnteu.in/
Tamil University,Thanjavur,Tamil Nadu ,http://www.tamiluniversity.ac.in
Tamilnadu Agricultural University,Coimbatore,Tamil Nadu ,http://www.tnau.ac.in
Tamilnadu Dr. Ambedkar Law University,Chennai,Tamil Nadu ,http://www.tndalu.org
Tamilnadu Dr. M.G.R.Medical University,Chennai,Tamil Nadu ,http://www.tnmmu.ac.in
Tamilnadu Physical Educaton and Sports University,Chennai,Tamil Nadu ,http://www.tnpesu.org
Tamilnadu Veterinary & Animal Sciences University,Chennai,Tamil Nadu ,http://www.tanuvas.ac.in
Telangana University,Nizamabad,Telangana,http://www.telanganauniversity.ac.in
The Rajiv Gandhi National University of Law,Patiala,Punjab,http://www.rgnul.ac.in
Thiruvalluvar University,Vellore,Tamil Nadu ,http://www.thiruvalluvaruniversity.ac.in
U.P.King George's University of Dental Sciences,Lucknow,Uttar Pradesh,http://www.kgmcindia.edu/
U.P. Rajarshi Tandon Open University,Allahabad,Uttar Pradesh,http://www.uprtou.ac.in
University of Kota,Kota,Rajasthan,http://www.uok.ac.in/
Utkal University,Bhubaneshwar,Odisha,http://www.utkaluniversity.ac.in
Dr. A.P.J. Abdul Kalam Technical University,Lucknow,Uttar Pradesh,http://www.uptu.ac.in
Uttarakhand Sanskrit University,Delhi,Delhi,http://www.usvv.ac.in
Vardhman Mahaveer Open University,Hata,Uttar Pradesh,http://www.vmou.ac.in
Vesveswaraiah Technological University,Belgaum,Karnataka,http://www.vtu.ac.in
Vikrama Simhapuri University,Nellore,Andhra Pradesh,http://www.simhapuriuniv.ac.in
Vikram University,Ujjain,Madhya Pradesh,http://www.vikramuniv.ac.in
Yashwant Rao Chavan Maharashtra Open University,Nasik,Maharashtra,http://www.ycmou.com
Maharishi University of Management and Technology,Bilaspur,Chhattisgarh,http://www.mumt.com
Ahmedabad University ,Ahmedabad,Gujarat,http://www.ahduni.edu.in
Arni University,Indore,Madhya Pradesh,http://www.arni.in
